Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"hand-written/ALaCarte.desugar",1.371774531851739e-7,1.369831837059793e-7,1.3755520686116595e-7,1.3378379446913153e-9,7.432942035396352e-10,2.20733273909605e-9
"hand-written/Standard.desugar",3.168919654498091e-7,3.166129909302597e-7,3.1728139688572803e-7,1.6801785829194572e-9,1.2484123711818989e-9,2.4140604854435907e-9
"hand-written/ALaCarte.desugarType",6.9923324079457575e-6,6.982262224651472e-6,7.0081074847227126e-6,6.333679730534816e-8,4.514617448066514e-8,9.31042920798169e-8
"hand-written/ALaCarte.desugarType'",6.277364740975495e-6,6.268210088824195e-6,6.292284929059204e-6,5.872812599250828e-8,4.218183315786342e-8,9.823060102041832e-8
"hand-written/Standard.desugarType",1.241445883972346e-6,1.2395350561129563e-6,1.2440092194125327e-6,1.123212961440268e-8,8.86747732259737e-9,1.4636220630827764e-8
"hand-written/ALaCarte.typeSugar",2.2583797602346964e-6,2.2423692434709493e-6,2.294806697060599e-6,1.1738482204492209e-7,5.310864118808852e-8,2.0971840752091043e-7
"hand-written/Standard.typeSugar",6.525446276258807e-7,6.514852581129793e-7,6.540085334962108e-7,6.304999224541601e-9,4.940115681757653e-9,8.204471191570115e-9
"hand-written/ALaCarte.desugarType2",6.890631879425213e-6,6.881783599583445e-6,6.902247578335918e-6,5.1884069389194357e-8,4.175719644086601e-8,6.591385039571456e-8
"hand-written/ALaCarte.desugarType2'",6.264065055823487e-6,6.2556482750153895e-6,6.2779466944987e-6,5.457916440534665e-8,3.802136318484993e-8,8.784029514877441e-8
"hand-written/Standard.desugarType2",1.7673636660427118e-6,1.7598156590249365e-6,1.7840114333210459e-6,5.475357606572727e-8,2.3849423866721397e-8,9.508749716612385e-8
"hand-written/ALaCarte.typeSugar2",1.9400558360757774e-6,1.9377360747445317e-6,1.9428222416094533e-6,1.3009580567118142e-8,1.0960336303054043e-8,1.6089692010361663e-8
"hand-written/Standard.typeSugar2",7.659613161698319e-7,7.643692671946832e-7,7.678031243469198e-7,8.731306896482746e-9,7.52002540497336e-9,1.050198545033457e-8
"hand-written/ALaCarte.desugarEval",7.32937302652741e-6,7.322191415862163e-6,7.338197964032616e-6,4.075460264985514e-8,3.3599143123227006e-8,5.08667559586668e-8
"hand-written/ALaCarte.desugarEval'",6.292368558290555e-6,6.280461644797348e-6,6.321860204606855e-6,9.008265796834894e-8,4.699503127100102e-8,1.8732092180859194e-7
