Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"hand-written/ALaCarte.contVar",1.833908783716724e-6,1.8322143182171099e-6,1.8359718020438044e-6,9.524870945427104e-9,7.976426774734945e-9,1.2193785419237615e-8
"hand-written/ALaCarte.contVar'",7.999693447070657e-7,7.989827123025606e-7,8.010875792561349e-7,5.373444880475191e-9,4.589213730327471e-9,6.805243226422385e-9
"hand-written/ALaCarte.contVarGen",9.340260038684499e-7,9.326044943914736e-7,9.35607847432621e-7,7.722279274386605e-9,6.7466733175513425e-9,9.079726150918695e-9
"hand-written/Standard.contVar",1.7816540514735323e-7,1.7783445679455623e-7,1.7853184517586788e-7,1.7943387232289518e-9,1.5733169187785316e-9,2.1188627461548992e-9
"hand-written/Standard.contVarGen",1.150249459419544e-6,1.1275148556769297e-6,1.207630350613852e-6,1.624586480350281e-7,1.1967782312514452e-8,2.993974784818134e-7
"hand-written/ALaCarte.freeVars",1.9455053162988977e-6,1.924380847892749e-6,2.04776696845326e-6,2.0552504794414056e-7,9.40668281720556e-9,4.899440867656589e-7
"hand-written/ALaCarte.freeVars'",1.2690719994761107e-6,1.2467469754839435e-6,1.3428022153909766e-6,1.8530528429468223e-7,5.644827032238988e-8,4.074589760420418e-7
"hand-written/ALaCarte.freeVarsGen",1.0141561838759258e-6,9.763000212152322e-7,1.087280414280003e-6,2.660141053960405e-7,1.6474716471978856e-7,3.85325046011181e-7
"hand-written/Standard.freeVars",5.931477300697931e-7,5.710040571596e-7,6.312915371773053e-7,1.444801054247456e-7,9.35521647047085e-8,2.06003190884757e-7
"hand-written/Standard.freeVarsGen",1.204572403943916e-6,1.1556695630362575e-6,1.287014700849502e-6,3.1658453590634344e-7,2.090219598243408e-7,4.38803880363833e-7
"random (depth: 5, size: 95)/ALaCarte.contVar",1.0743591096631286e-5,1.0478518234604732e-5,1.1363265282683437e-5,1.9761628118954745e-6,9.39719053583942e-7,3.4741854994252365e-6
"random (depth: 5, size: 95)/ALaCarte.contVar'",5.1581173354902115e-6,4.890969921615289e-6,5.5588560274553625e-6,1.6575757783970001e-6,1.2131671645109178e-6,2.1517671734226433e-6
"random (depth: 5, size: 95)/ALaCarte.contVarGen",5.9836951168720726e-6,5.6755896263011335e-6,6.430188768549292e-6,1.876989478346987e-6,1.432879457401104e-6,2.3797832629933203e-6
"random (depth: 5, size: 95)/Standard.contVar",1.2161915948715625e-6,1.1731404856316018e-6,1.2920825983654512e-6,2.860536512943199e-7,1.8680560249128377e-7,4.041073384460266e-7
